file	page	qualifying_gutters	widest_interior_quiet_frac	widthPx	heightPx	widestPx	widestSpan	otsu	peakInk	gutterSpans
1954 - Why.pdf	2	0	0.0000	1275	1650	0	-	153	917	-
1954 - Why.pdf	6	2	0.0521	1650	1275	86	817-903	146	705	725-809,817-903
1954 - Why.pdf	10	0	0.0000	1275	1650	0	-	217	1650	-
Berle_1940_New directions in the new world,_Harper.pdf	2	0	0.0000	790	1170	0	-	149	198	-
Berle_1940_New directions in the new world,_Harper.pdf	16	0	0.0166	783	1168	13	101-114	157	254	-
Berle_1940_New directions in the new world,_Harper.pdf	31	0	0.0000	799	1166	0	-	154	602	-
Boltanski_2006_On justification_Princeton University Press.pdf	2	1	0.1676	1623	1308	272	831-1103	146	34	831-1103
Boltanski_2006_On justification_Princeton University Press.pdf	102	2	0.0474	1623	1308	77	851-928	159	623	770-844,851-928
Boltanski_2006_On justification_Princeton University Press.pdf	203	0	0.0000	871	1240	0	-	92	1240	-
Casey_1954_1954 pay almanac,.pdf	2	0	0.0000	1020	1451	0	-	161	1029	-
Casey_1954_1954 pay almanac,.pdf	6	0	0.0000	1020	1554	0	-	158	1265	-
Casey_1954_1954 pay almanac,.pdf	10	0	0.0000	1020	1426	0	-	160	1209	-
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	2	0	0.0000	850	1276	0	-	165	240	-
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	5	0	0.0000	850	1276	0	-	166	335	-
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	8	0	0.0000	850	1276	0	-	175	82	-
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	2	0	0.0000	800	1300	0	-	193	1300	-
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	219	0	0.0000	797	1330	0	-	132	273	-
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	436	0	0.0000	860	1350	0	-	126	297	-
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	2	0	0.0000	795	1186	0	-	135	1186	-
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	16	1	0.1350	904	1203	122	659-781	149	1198	659-781
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	30	1	0.0717	906	1206	65	715-780	145	1198	715-780
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	2	0	0.0254	788	1200	20	451-471	141	25	-
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	114	0	0.0000	788	1200	0	-	164	338	-
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	226	0	0.0000	788	1200	0	-	118	1200	-
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	2	0	0.0194	1240	1754	24	270-294	144	197	-
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	4	0	0.0065	1240	1754	8	294-302	142	524	-
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	6	0	0.0000	1240	1754	0	-	142	450	-
Guilford_Psychometric Methods.pdf	2	0	0.0000	990	1488	0	-	159	367	-
Guilford_Psychometric Methods.pdf	4	0	0.0000	994	1467	0	-	154	390	-
Guilford_Psychometric Methods.pdf	6	0	0.0000	967	1483	0	-	160	433	-
Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	2	0	0.0123	1057	1644	13	223-236	143	44	-
Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	288	0	0.0000	1060	1646	0	-	140	529	-
Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	574	0	0.0075	1060	1646	8	554-562	141	428	-
Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	2	0	0.0244	1556	2400	38	408-446	173	198	-
Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	128	0	0.0000	1556	2400	0	-	172	624	-
Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	255	0	0.0000	1556	2400	0	-	175	127	-
Ibson_2006_Picturing men.pdf	2	0	0.0000	1050	1500	0	-	143	1486	-
Ibson_2006_Picturing men.pdf	132	0	0.0067	1050	1500	7	135-142	172	672	-
Ibson_2006_Picturing men.pdf	263	0	0.0000	1050	1500	0	-	196	5	-
JAH Review.pdf	1	0	0.0000	1240	1829	0	-	161	360	-
JAH Review.pdf	2	0	0.0000	850	1326	0	-	162	375	-
JAH Review.pdf	3	0	0.0000	850	1326	0	-	162	288	-
Keyssar_2000_The Right to Vote_Basic Books.pdf	1	0	0.0000	1240	1829	0	-	156	267	-
Keyssar_2000_The Right to Vote_Basic Books.pdf	2	0	0.0029	1050	1614	3	516-519	166	410	-
Keyssar_2000_The Right to Vote_Basic Books.pdf	3	0	0.0010	1050	1614	1	517-518	167	511	-
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	2	2	0.1017	1800	1350	183	738-921	151	1347	738-921,1053-1153
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	41	0	0.0128	1800	1350	23	997-1020	167	1348	-
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	81	0	0.0244	1800	1350	44	948-992	170	1348	-
Mintzberg - 1973 - The nature of managerial work.pdf	2	2	0.1145	1790	1373	205	916-1121	156	590	791-886,916-1121
Mintzberg - 1973 - The nature of managerial work.pdf	60	2	0.0715	1763	1336	126	924-1050	159	426	822-888,924-1050
Mintzberg - 1973 - The nature of managerial work.pdf	119	4	0.0636	1761	1334	112	778-890	167	1162	440-504,778-890,897-983,1255-1318
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	2	0	0.0000	2016	1408	0	-	131	1408	-
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	7	1	0.0476	2124	1384	101	397-498	133	1384	397-498
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	12	0	0.0028	2124	1376	6	476-482	133	1376	-
Morgan_1975_American Slavery, American Freedom_Norton.pdf	1	0	0.0000	1240	1829	0	-	156	251	-
Morgan_1975_American Slavery, American Freedom_Norton.pdf	2	0	0.0010	988	1510	1	499-500	165	340	-
Morgan_1975_American Slavery, American Freedom_Norton.pdf	3	0	0.0020	988	1510	2	499-501	164	311	-
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	2	0	0.0000	1068	1276	0	-	134	1062	-
